"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PL","30.10.2015 11:00 - 30.10.2015 12:00 (CET/CEST)","252","6912","70","638","11248","212","n/e","n/e","n/e","224","","118","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","21"
"BZN|PL","30.10.2015 12:00 - 30.10.2015 13:00 (CET/CEST)","249","6879","66","636","11412","208","n/e","n/e","n/e","207","","116","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","12"
"BZN|PL","30.10.2015 13:00 - 30.10.2015 14:00 (CET/CEST)","252","6876","65","636","11558","206","n/e","n/e","n/e","178","","114","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","16"
"BZN|PL","30.10.2015 14:00 - 30.10.2015 15:00 (CET/CEST)","252","6833","67","637","11239","208","n/e","n/e","n/e","70","","107","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","22"
"BZN|PL","30.10.2015 15:00 - 30.10.2015 16:00 (CET/CEST)","252","6872","67","636","11228","210","n/e","n/e","n/e","0","","101","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51"
"BZN|PL","30.10.2015 16:00 - 30.10.2015 17:00 (CET/CEST)","253","6962","66","640","11756","215","n/e","n/e","n/e","181","","101","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","161"
"BZN|PL","30.10.2015 17:00 - 30.10.2015 18:00 (CET/CEST)","252","6980","66","649","12289","218","n/e","n/e","n/e","482","","102","50","n/e","n/e","n/e","n/e","n/e","n/e","n/e","372"
"BZN|PL","30.10.2015 18:00 - 30.10.2015 19:00 (CET/CEST)","252","6828","67","661","12135","219","n/e","n/e","n/e","298","","115","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","553"
"BZN|PL","30.10.2015 19:00 - 30.10.2015 20:00 (CET/CEST)","252","6829","64","662","11807","221","n/e","n/e","n/e","163","","131","57","n/e","n/e","n/e","n/e","n/e","n/e","n/e","714"
"BZN|PL","30.10.2015 20:00 - 30.10.2015 21:00 (CET/CEST)","252","6381","61","661","11157","221","n/e","n/e","n/e","28","","126","7","n/e","n/e","n/e","n/e","n/e","n/e","n/e","895"
